Date			EUR/USD	GBP/USD	AUD/USD	INR/USD	AED/USD	Volume_EUR/USD	Volume_GBP/USD 	Volume_AUD/USD 	Volume_INR/USD 	Volume_AED/USD
Jul 15, 2023	1.0956	1.2915	0.6236	82.4156	3.6896	156566	921265	501265	865656	612654
Jul 14, 2023	1.0945	1.2945	0.6156	82.4047	3.6123	203266	895656	569565	801256	594543
Jul 13, 2023	1.0979	1.2989	0.6645	82.4045	3.6569	177895	815264	489556	798956	654512
Jul 12, 2023	1.0915	1.2978	0.6665	82.4123	3.6125	223656	845656	515466	801264	395656
Jul 11, 2023	1.0993	1.2956	0.6664	82.4090	3.6729	176329	869952	532581	862361	671822
Jul 10, 2023	1.0999	1.2859	0.6675	82.5200	3.6728	689344	682302	537341	151691	297339
Jul 07, 2023	1.0967	1.2836	0.6688	82.6100	3.6724	388644	950744	793727	715556	496279
Jul 06, 2023	1.0887	1.2742	0.6625	82.7580	3.6724	909264	675568	368842	290546	270365
Jul 05, 2023	1.0851	1.2704	0.6654	82.3970	3.6728	378874	697833	605984	127446	931900
Jul 04, 2023	1.0877	1.2712	0.6691	81.9460	3.6723	527259	144723	574262	924639	828430
Jul 03, 2023	1.0911	1.2691	0.6670	81.9400	3.6726	202278	279931	786548	885724	446686
Jul 02, 2023	1.0923	1.2645	0.6596	81.9396	3.6789	268954	258691	682742	912365	415654
Jul 01, 2023	1.0913	1.2600	0.6456	81.9356	3.6695	236954	396564	869544	892565	395647
