Date			EUR/USD	GBP/USD	AUD/USD	INR/USD	AED/USD	Volume_EUR/USD	Volume_GBP/USD 	Volume_AUD/USD 	Volume_INR/USD 	Volume_AED/USD
Jun 30, 2023	1.0911	1.2704	0.6666	82.0910	3.6726	448001	227556	812444	945353	614921
Jun 29, 2023	1.0864	1.2612	0.6614	82.1000	3.6727	799708	221411	337361	233516	388041
Jun 28, 2023	1.0911	1.2641	0.6599	82.0200	3.6726	963240	47854	173097	390828	901423
Jun 27, 2023	1.0959	1.2746	0.6684	81.9830	3.6724	587898	917916	644388	189674	914213
Jun 26, 2023	1.0904	1.2712	0.6670	81.9700	3.6726	950856	579809	734371	249565	717977
Jun 25, 2023	1.0915	1.2656	0.6456	81.9500	3.6562	952646	656236	784666	264565	845626
Jun 24, 2023	1.0892	1.2689	0.6756	81.9789	3.6456	956566	569558	756926	312565	689551
Jun 23, 2023	1.0889	1.2711	0.6677	81.9800	3.6724	722433	739258	223428	462919	907341
Jun 22, 2023	1.0956	1.2746	0.6755	81.9500	3.6724	965568	378517	236835	684633	369921
Jun 21, 2023	1.0984	1.2769	0.6796	81.9300	3.6730	327510	920682	184438	403082	637703
Jun 20, 2023	1.0916	1.2761	0.6783	82.0000	3.6726	219010	117807	997365	525715	439700
Jun 19, 2023	1.0922	1.2791	0.6849	81.9100	3.6727	958114	237919	320920	164393	982050
Jun 18, 2023	1.0932	1.2656	0.6785	81.8756	3.6546	896566	123264	456566	235656	145263
Jun 17, 2023	1.0956	1.2763	0.6746	81.9912	3.6623	789562	365621	223564	326566	486958
Jun 16, 2023	1.0933	1.2817	0.6877	81.9100	3.6724	872015	696350	46210	367472	155617
Jun 15, 2023	1.0945	1.2781	0.6885	81.9000	3.6726	124953	892005	864131	637891	748371
Jun 14, 2023	1.0831	1.2661	0.6793	81.9500	3.6724	788667	769312	936230	436888	968309
Jun 13, 2023	1.0791	1.2612	0.6766	82.2290	3.6726	518439	626740	947350	993386	400650
Jun 12, 2023	1.0757	1.2511	0.6750	82.3900	3.6724	964681	222647	768928	481316	972940
Jun 11, 2023	1.0656	1.2523	0.6665	82.3232	3.6623	789533	896563	656792	232331	789892
Jun 10, 2023	1.0756	1.2456	0.6456	82.4562	3.4565	789565	456566	589475	232323	454565
Jun 09, 2023	1.0747	1.2569	0.6739	82.4400	3.6726	971411	691736	727152	274424	203846
Jun 08, 2023	1.0781	1.2553	0.6715	82.4880	3.6728	243864	840162	675812	444506	545867
Jun 07, 2023	1.0697	1.2434	0.6650	82.5000	3.6726	650258	453327	114046	561830	478601
Jun 06, 2023	1.0691	1.2424	0.6669	82.5100	3.6727	660469	507006	150857	366168	163390
Jun 05, 2023	1.0712	1.2437	0.6615	82.5200	3.6724	783780	593603	862866	921984	146873
Jun 04, 2023	1.0758	1.2465	0.6624	82.5250	3.6787	783126	593231	254654	189654	235644
Jun 03, 2023	1.0654	1.2214	0.6712	82.6542	3.6126	124564	223642	454656	789899	265656
Jun 02, 2023	1.0706	1.2448	0.6611	82.3980	3.6724	618121	490182	907131	856469	387794
Jun 01, 2023	1.0761	1.2525	0.6570	82.2660	3.6724	658885	257009	649127	658325	403503
